Year,Week,Home_Team,Away_Team,Favorite,Spread,Home_Score,Away_Score,Pick,Correct
2014,1,SEA,GB,H,6,36,16,SEA,T
2014,1,ATL,NO,A,3,37,34,NO,F
2014,1,CHI,BUF,H,7,20,23,CHI,F
2014,1,KC,TEN,H,3.5,10,26,KC,F
2014,1,STL,MIN,H,3.5,6,34,STL,F
2014,1,MIA,NE,A,5,33,20,NE,F
2014,1,NYJ,OAK,H,5.5,19,14,NYJ,F
2014,1,PHI,JAC,H,10.5,34,17,PHI,T
2014,1,PIT,CLE,H,6.5,30,27,PIT,F
2014,1,BAL,CIN,H,2,16,23,BAL,F
2014,1,HOU,WAS,H,3,17,6,HOU,T
2014,1,DAL,SF,A,5,17,28,SF,T
2014,1,TB,CAR,H,2,14,20,CAR,T
2014,1,DEN,IND,H,7.5,31,24,DEN,F
2014,1,DET,NYG,H,5.5,35,14,DET,T
2014,1,ARI,SD,H,3,18,17,ARI,F
2014,2,BAL,PIT,H,2.5,26,6,PIT,F
2014,2,BUF,MIA,A,1,29,10,MIA,F
2014,2,CIN,ATL,H,5,24,10,ATL,F
2014,2,CLE,NO,A,6.5,26,24,NO,F
2014,2,TEN,DAL,H,3.5,10,26,TEN,F
2014,2,MIN,NE,A,3,7,30,NE,T
2014,2,NYG,ARI,A,2.5,14,25,NYG,F
2014,2,WAS,JAC,H,6,41,10,JAC,F
2014,2,CAR,DET,H,2.5,24,7,CAR,T
2014,2,SD,SEA,A,6,30,21,SEA,F
2014,2,TB,STL,H,5.5,17,19,TB,F
2014,2,DEN,KC,H,12.5,24,17,DEN,F
2014,2,GB,NYJ,H,8.5,31,24,GB,F
2014,2,HOU,OAK,A,3,14,30,HOU,T
2014,2,SF,CHI,H,7,20,28,SF,F
2014,2,IND,PHI,H,3,27,30,IND,F
2014,3,ATL,TB,H,6.5,56,14,ATL,T
2014,3,BUF,SD,H,2,10,22,SD,T
2014,3,CIN,TEN,H,7,33,7,CIN,T
2014,3,CLE,BAL,A,1.5,21,23,CLE,F
2014,3,DET,GB,H,2.5,19,7,DET,T
2014,3,STL,DAL,A,1,31,34,DAL,T
2014,3,NE,OAK,H,14,16,9,NE,F
2014,3,NO,MIN,H,10,20,9,NO,T
2014,3,NYG,HOU,A,2.5,30,17,HOU,F
2014,3,PHI,WAS,H,6.5,37,34,WAS,T
2014,3,JAC,IND,A,7,17,44,IND,T
2014,3,ARI,SF,A,3,23,14,ARI,T
2014,3,MIA,KC,H,4,15,34,MIA,F
2014,3,SEA,DEN,H,5,26,20,SEA,T
2014,3,CAR,PIT,H,3.5,19,37,CAR,F
2014,3,NYJ,CHI,H,2.5,19,27,NYJ,F
2014,4,WAS,NYG,H,4,,,,
2014,4,CHI,GB,A,1.5,,,,
2014,4,IND,TEN,H,7.5,,,,
2014,4,OAK,MIA,A,4,,,,
2014,4,NYJ,DET,A,1.5,,,,
2014,4,PIT,TB,H,7.5,,,,
2014,4,BAL,CAR,H,3.5,,,,
2014,4,HOU,BUF,H,3,,,,
2014,4,SAN,JAC,H,13,,,,
2014,4,MIN,ATL,A,3,,,,
2014,4,SF,PHI,H,5,,,,
2014,4,DAL,NO,A,3,,,,
2014,4,KC,NE,A,3.5,,,,
