Year,Week,Home_Team,Away_Team,Favorite,Spread,Home_Score,Away_Score,Pick
2015,1,NE,PIT,H,7,28,21,NE
2015,1,BUF,IND,A,2.5,27,14,IND
2015,1,CHI,GB,A,6.5,23,31,GB
2015,1,STL,SEA,A,4,34,31,SEA
2015,1,NYJ,CLE,H,3,31,10,NYJ
2015,1,WAS,MIA,A,3.5,10,17,WAS
2015,1,JAC,CAR,A,3,9,20,CAR
2015,1,HOU,KC,H,1,20,27,KC
2015,1,ARI,NO,H,2.5,31,19,ARI
2015,1,SD,DET,H,3,33,28,SD
2015,1,DEN,BAL,H,4.5,19,13,DEN
2015,1,OAK,CIN,A,3.5,13,33,OAK
2015,1,TB,TEN,H,3,14,42,TB
2015,1,DAL,NYG,H,6,27,26,DAL
2015,1,ATL,PHI,A,3,26,24,ATL
2015,1,SF,MIN,A,2.5,20,3,SF
2015,2,KC,DEN,H,3,24,31,DEN
2015,2,BUF,NE,H,0,32,40,NE
2015,2,CHI,ARI,A,2,23,48,ARI
2015,2,CIN,SD,H,3,24,19,CIN
2015,2,CLE,TN,A,1,28,14,TN
2015,2,MIN,DET,H,3,26,16,DET
2015,2,NO,TB,H,10,19,26,NO
2015,2,NYG,ATL,H,2,20,24,NYG
2015,2,PIT,SF,H,5.5,43,18,PIT
2015,2,WAS,STL,A,3,24,10,STL
2015,2,CAR,HOU,H,3.5,24,17,CAR
2015,2,OAK,BAL,H,0,37,33,BAL
2015,2,JAC,MIA,A,6,23,20,MIA
2015,2,PHI,DAL,H,5,10,20,DAL
2015,2,GB,SEA,H,3.5,27,17,GB
2015,2,IND,NYJ,H,7,7,20,NYJ
2015,3,NYG,WAS,H,4,32,21,NYG
2015,3,CLE,OAK,H,3.5,20,27,CLE
2015,3,DAL,ATL,A,2,28,39,DAL
2015,3,TN,IND,A,3.5,33,35,TN
2015,3,STL,PIT,A,1,6,12,PIT
2015,3,MIN,SD,H,2.5,31,14,SD
2015,3,NE,JAC,H,13.5,51,17,NE
2015,3,NYJ,PHI,H,2.5,17,24,NYJ
2015,3,CAR,NO,H,3,27,22,CAR
2015,3,BAL,CIN,H,2.5,24,28,CIN
2015,3,HOU,TB,H,6.5,19,9,HOU
2015,3,ARI,SF,H,6.5,47,7,ARI
2015,3,MIA,BUF,H,2.5,14,41,BUF
2015,3,SEA,CHI,H,14.5,26,0,SEA
2015,3,DET,DEN,A,3,12,24,DEN
2015,3,GB,KC,H,6.5,38,28,GB
